date,equity,shares_value,cash_pool,contrib_cum,contrib_today
2004-10-12,5181.627161713083,4941.627161713083,240.0,5050.0,0.0
2004-10-13,5148.299024944205,4908.299024944205,240.0,5050.0,0.0
2004-10-14,5099.79137440464,4859.79137440464,240.0,5050.0,0.0
2004-10-15,5112.237350962252,4872.237350962252,240.0,5050.0,0.0
2004-10-18,5331.722673148961,5061.722673148961,270.0,5200.0,150.0
2004-10-19,5285.92652188166,5015.92652188166,270.0,5200.0,0.0
2004-10-20,5229.351350616675,4959.351350616675,270.0,5200.0,0.0
2004-10-21,5256.448752412578,4986.448752412578,270.0,5200.0,0.0
2004-10-22,5163.148153168993,4893.148153168993,270.0,5200.0,0.0
2004-10-25,5106.281854633683,4836.281854633683,270.0,5200.0,0.0
2004-10-26,5193.90921517795,4923.90921517795,270.0,5200.0,0.0
2004-10-27,5257.129937032359,4987.129937032359,270.0,5200.0,0.0
2004-10-29,5236.588046230877,4966.588046230877,270.0,5200.0,0.0
2004-11-01,5272.280311112319,5002.280311112319,270.0,5200.0,0.0
2004-11-02,5287.552368431317,5017.552368431317,270.0,5200.0,0.0
2004-11-03,5451.994536020077,5151.994536020077,300.0,5350.0,150.0
2004-11-04,5521.477149957811,5221.477149957811,300.0,5350.0,0.0
2004-11-05,5511.073453936656,5211.073453936656,300.0,5350.0,0.0
2004-11-08,5491.781774239045,5191.781774239045,300.0,5350.0,0.0
2004-11-09,5504.580814672737,5204.580814672737,300.0,5350.0,0.0
2004-11-10,5493.39198036214,5193.39198036214,300.0,5350.0,0.0
2004-11-11,5532.468379467532,5232.468379467532,300.0,5350.0,0.0
2004-11-12,5561.4107815372245,5261.4107815372245,300.0,5350.0,0.0
2004-11-15,5613.24184357794,5313.24184357794,300.0,5350.0,0.0
2004-11-16,5544.038844166011,5244.038844166011,300.0,5350.0,0.0
2004-11-17,5748.115231929338,5418.115231929338,330.0,5500.0,150.0
2004-11-18,5816.358371515596,5486.358371515596,330.0,5500.0,0.0
2004-11-19,5684.322211007144,5354.322211007144,330.0,5500.0,0.0
2004-11-22,5686.358554479246,5356.358554479246,330.0,5500.0,0.0
2004-11-23,5695.892556419423,5365.892556419423,330.0,5500.0,0.0
2004-11-24,5680.485410407039,5350.485410407039,330.0,5500.0,0.0
2004-11-26,5661.913785588491,5331.913785588491,330.0,5500.0,0.0
2004-11-29,5678.643337523177,5348.643337523177,330.0,5500.0,0.0
2004-11-30,5692.2085032428595,5362.2085032428595,330.0,5500.0,0.0
2004-12-01,5733.52327569708,5403.52327569708,330.0,5500.0,0.0
2004-12-02,5787.866981282682,5457.866981282682,330.0,5500.0,0.0
2004-12-03,5943.201258513342,5583.201258513342,360.0,5650.0,150.0
2004-12-06,5991.994022680734,5631.994022680734,360.0,5650.0,0.0
2004-12-07,5973.945820839404,5613.945820839404,360.0,5650.0,0.0
2004-12-08,6046.016120043332,5686.016120043332,360.0,5650.0,0.0
2004-12-09,6093.796973148921,5733.796973148921,360.0,5650.0,0.0
2004-12-10,6107.082293122404,5747.082293122404,360.0,5650.0,0.0
2004-12-13,6176.118394568865,5816.118394568865,360.0,5650.0,0.0
2004-12-14,6242.99851445896,5882.99851445896,360.0,5650.0,0.0
2004-12-15,6188.8671846296,5828.8671846296,360.0,5650.0,0.0
2004-12-16,6227.331589711508,5867.331589711508,360.0,5650.0,0.0
2004-12-17,6344.58483565336,5954.58483565336,390.0,5800.0,150.0
2004-12-20,6346.561767303385,5956.561767303385,390.0,5800.0,0.0
2004-12-21,6387.550540329378,5997.550540329378,390.0,5800.0,0.0
2004-12-22,6457.312004492495,6067.312004492495,390.0,5800.0,0.0
2004-12-23,6430.973012211887,6040.973012211887,390.0,5800.0,0.0
2004-12-27,6346.118606941051,5956.118606941051,390.0,5800.0,0.0
2004-12-28,6369.399354770445,5979.399354770445,390.0,5800.0,0.0
2004-12-29,6341.853352366238,5951.853352366238,390.0,5800.0,0.0
2004-12-30,6306.006929307463,5916.006929307463,390.0,5800.0,0.0
2004-12-31,6278.601263998822,5888.601263998822,390.0,5800.0,0.0
2005-01-03,6463.525115636875,6043.525115636875,420.0,5950.0,150.0
2005-01-04,6455.907680274733,6035.907680274733,420.0,5950.0,0.0
2005-01-05,6429.962116162349,6009.962116162349,420.0,5950.0,0.0
2005-01-06,6514.292164998313,6094.292164998313,420.0,5950.0,0.0
2005-01-07,6485.853348698126,6065.853348698126,420.0,5950.0,0.0
2005-01-10,6462.068620395233,6042.068620395233,420.0,5950.0,0.0
